KIDS,KID14,ER30001,ER30002,ER32000,ER32006,ER34201,ER34202,ER34203,P14REL,P14E5,P14E6,P14E10_09,P14E15,P14E16_3,P14E26_5,P14E33_6,P14E53,C14REL,C14B12,C14B13
1,1.2,41,38,2,2,4278,4,35,2,1,5,0,1,1,5,0,0,3,0,0
1,1.1,41,39,1,2,5837,3,30,2,5,0,0,5,0,0,0,1,,,
1,1.2,41,40,2,2,4278,5,30,2,5,0,0,5,0,0,0,2,3,0,0
1,1.1,41,41,2,2,5837,4,30,2,5,0,5,1,5,0,0,1,,,
1,1.1,41,43,2,2,3578,3,30,2,5,0,0,5,0,0,0,0,,,
1,1.1,41,44,1,2,8138,3,30,2,0,0,0,0,0,0,0,1,,,
1,1.1,41,45,1,2,8138,4,30,2,0,0,0,0,0,0,0,1,,,
1,1.1,45,35,2,2,1830,3,30,2,5,0,5,5,0,0,0,2,,,
1,1.2,47,41,2,2,2030,5,30,2,5,0,0,5,0,5,5,1,3,2.8,4
1,1.2,47,43,2,2,2002,4,30,2,1,6,0,1,1,1,0,1,3,4,4
1,1.2,47,44,2,2,3521,3,30,2,1,5,0,1,1,0,0,1,3,0,0
1,1.1,47,46,2,2,1841,3,30,2,0,0,0,0,0,0,0,4,,,
1,1.1,50,36,1,2,1097,3,30,2,5,0,0,5,0,0,0,2,,,
1,1.1,50,37,1,2,1097,4,30,2,0,0,0,0,0,0,0,3,,,
1,1.1,51,35,1,2,4566,2,30,2,5,0,5,5,0,5,0,2,,,
1,1.1,51,36,1,2,4566,3,30,2,5,0,5,5,0,5,0,1,,,
1,1.1,51,37,1,2,4566,4,30,2,0,0,0,0,0,0,0,2,,,
1,1.1,53,43,1,2,1815,3,30,2,1,2,0,5,0,0,0,4,,,
1,1.1,53,44,2,2,5931,6,30,2,1,2,0,5,0,0,0,2,,,
1,1.1,53,46,2,2,7449,3,30,2,5,0,0,1,1,0,0,5,,,
1,1.1,53,48,1,2,3928,3,30,2,5,0,0,5,0,0,0,4,,,
1,1.1,53,49,2,2,3928,4,30,2,5,0,0,5,0,0,0,0,,,
1,1.1,53,50,2,2,3928,5,30,2,5,0,0,5,0,0,0,3,,,
1,1.1,53,51,2,2,7449,4,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,53,53,2,2,5214,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,53,54,2,2,7449,5,30,2,0,0,0,0,0,0,0,0,,,
