KIDS,KID19,ER30001,ER30002,ER32000,ER32006,ER34701,ER34702,ER34703,P19REL,P19E5,P19E6,P19E10_09,P19E15,P19E16_3,P19E26_5,P19E33_6,P19E53A,C19REL,C19B12,C19B13
1,1.1,41,41,2,2,5209,4,30,1,5,0,0,5,0,0,0,1,,,
1,1.1,41,42,2,2,8092,3,30,1,1,4,0,1,1,0,0,5,,,
1,1.2,41,43,2,2,4624,2,30,1,5,0,5,1,5,0,0,1,2,0,0
1,1.1,41,44,1,2,7321,3,30,1,1,2,0,5,0,0,0,1,,,
1,1.1,41,45,1,2,7321,4,30,1,1,3,5,5,0,0,0,1,,,
1,1.1,41,47,1,2,7321,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,41,49,1,2,4624,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,45,35,2,2,2342,3,60,1,5,0,5,5,0,0,0,1,2,998,98
1,1.1,45,36,2,2,1941,2,30,1,0,0,0,0,0,0,0,5,,,
1,1.1,45,37,1,2,2189,2,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,45,38,1,2,2189,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,45,190,1,3,2232,4,60,1,5,0,0,5,0,0,0,1,,,
1,1.1,47,44,2,2,5452,3,30,1,1,6,0,1,1,1,0,1,,,
1,1.1,50,36,1,2,6567,2,30,1,1,1,0,5,0,0,0,5,,,
1,1.1,50,37,1,2,6567,3,30,1,1,5,0,5,0,0,0,2,,,
1,1.2,51,35,1,2,8925,3,33,1,1,5,0,1,1,0,0,1,2,0,0
1,1.1,51,36,1,2,8925,4,33,1,5,0,5,5,0,0,0,2,,,
1,1.1,51,37,1,2,8925,5,33,1,5,0,5,5,0,0,0,2,,,
1,1.2,53,44,2,2,7899,4,30,1,1,2,0,5,0,0,0,1,2,3.4,4
1,1.2,53,48,1,2,5717,3,30,1,1,3,0,5,0,0,0,1,2,3.5,4
1,1.2,53,49,2,2,5717,4,30,1,1,5,0,5,0,0,0,4,2,0,0
1,1.2,53,50,2,2,5717,5,30,1,5,0,0,1,1,0,0,1,2,0,0
1,1.1,53,53,2,2,9258,3,30,1,5,0,0,1,1,5,0,0,,,
1,1.1,53,56,2,2,6580,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,57,35,2,2,1686,3,30,1,0,0,0,0,0,0,0,1,,,
1,1.1,57,186,1,3,1686,2,30,1,5,0,0,5,0,0,0,3,,,
1,1.2,60,41,1,2,6093,3,30,1,5,0,0,1,1,5,5,1,2,3.44,4
1,1.2,60,42,1,2,6093,4,30,1,5,0,0,1,1,5,0,1,2,998,98
1,1.2,60,43,2,2,5160,3,30,1,1,3,0,1,1,5,5,1,2,0,0
1,1.1,61,38,1,2,6396,3,30,1,1,1,5,5,0,0,0,2,,,
1,1.1,61,39,1,2,6396,4,30,1,1,1,0,5,0,0,0,1,,,
1,1.1,61,40,1,2,4790,3,30,1,0,0,0,0,0,0,0,2,,,
1,1.1,61,42,1,2,6396,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,68,32,1,2,1585,4,30,1,1,1,0,5,0,0,5,2,2,0,0
1,1.1,68,33,2,2,1585,5,30,1,1,1,0,5,0,0,5,1,,,
1,1.1,84,37,2,2,4796,3,30,1,1,2,0,5,0,0,0,1,,,
1,1.1,84,38,1,2,6529,3,30,1,5,0,0,5,0,0,0,3,,,
1,1.1,84,39,2,2,6529,4,30,1,5,0,0,1,5,0,0,1,,,
1,1.1,84,40,2,2,4796,4,30,1,1,6,0,1,1,0,0,2,,,
1,1.1,84,43,2,2,6438,3,30,1,0,0,0,0,0,0,0,2,,,
1,1.1,84,44,1,2,7341,4,30,1,0,0,0,0,0,0,0,0,,,
